# RNA expression levels in TPM (transcripts per million transcripts)
# At 0'..30' time points after rifampin inhibition of RNA synthesis
#
gene	class	0m	3m	6m	9m	12m	15m	18m	21m	24m	27m	30m
eaaB	early	163.03	126.94	58.96	51.94	27.94	20.98	10.98	7.99	2.00	1.00	2.00
qrcJ	early	28.01	26.99	18.99	10.99	9.98	4.99	3.99	0.00	2.00	2.00	0.00
lcuY	middle	363.06	504.76	582.57	664.24	674.49	738.25	820.15	879.59	884.47	904.34	832.47
kkaE	early	20.00	19.99	7.99	4.00	5.99	1.00	1.00	0.00	0.00	0.00	0.00
rwdS	early	548.10	298.86	197.85	110.87	83.81	28.97	25.94	11.98	3.00	1.00	2.00
ghxL	middle	1978.35	2049.02	1987.54	1812.91	1702.20	1588.38	1386.87	1239.02	999.40	792.42	658.37
aktI	early	161.03	138.93	116.91	87.90	73.84	52.95	34.92	22.96	23.99	10.99	11.01
vkqZ	middle	1658.30	1825.12	1745.72	1748.99	1632.35	1499.47	1335.99	1124.20	1008.40	856.37	775.44
rtaO	early	292.05	286.86	195.86	170.80	142.68	90.91	51.88	47.92	28.98	17.99	11.01
jjvL	early	17.00	15.99	8.99	4.00	2.99	3.00	2.00	0.00	0.00	0.00	0.00
vnvJ	early	8.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
rnlY	early	7.00	2.00	1.00	1.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00
atbS	early	10.00	9.00	7.99	6.99	4.99	3.00	2.00	1.00	1.00	0.00	0.00
eukP	middle	218.04	228.89	217.84	185.79	173.61	151.84	115.74	127.80	80.95	68.95	69.04
weiF	early	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
wwgO	early	559.10	525.75	508.63	422.51	373.17	305.69	216.51	213.66	171.90	147.89	117.07
pmyN	middle	511.09	629.70	713.48	786.10	776.27	820.16	830.13	837.66	876.48	857.37	798.45
rkeF	early	47.01	13.99	2.00	1.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00
vncS	middle	1.00	5.00	5.00	4.00	3.99	2.00	2.99	2.00	1.00	1.00	3.00
aekD	early	6.00	2.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
qdnL	early	9.00	5.00	5.00	0.00	2.99	2.00	0.00	2.00	2.00	2.00	1.00
rvoT	middle	43.01	49.98	53.96	65.92	51.88	48.95	39.91	46.92	50.97	39.97	38.02
chzW	early	2.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
yhcH	early	2.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
rhtS	middle	33.01	28.99	37.97	34.96	33.92	27.97	19.96	10.98	13.99	4.00	10.01
jzxX	early	66.01	58.97	41.97	41.95	24.94	21.98	19.96	12.98	13.99	8.99	4.00
nqqZ	early	0.00	0.00	0.00	1.00	0.00	0.00	1.00	1.00	0.00	0.00	0.00
jvzM	early	119.02	95.95	53.96	58.93	38.91	11.99	7.98	3.99	2.00	6.00	0.00
nnqU	middle	9.00	13.99	13.99	6.99	8.98	7.99	2.99	3.99	4.00	0.00	5.00
owkU	middle	197.04	254.88	262.81	297.66	296.34	320.67	293.34	300.52	284.83	299.78	286.16
tngU	early	3.00	2.00	2.00	3.00	1.00	3.00	1.00	1.00	1.00	2.00	2.00
yalF	early	57.01	23.99	11.99	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
wghI	early	44.01	36.98	25.98	13.98	11.97	8.99	7.98	5.99	0.00	1.00	0.00
iicX	middle	907.16	1001.52	902.34	836.04	716.40	666.32	563.73	414.34	391.77	333.75	237.13
ldtV	late	393.07	461.78	628.54	703.19	667.51	873.11	840.11	896.57	896.46	933.31	1024.57
wwzD	early	22.00	11.99	7.99	3.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00
lcrN	middle	49.01	63.97	46.97	37.96	52.88	37.96	21.95	25.96	15.99	20.98	18.01
nlmY	early	89.02	69.97	59.96	33.96	32.93	11.99	7.98	5.99	4.00	1.00	1.00
dtsU	early	39.01	2.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
tyvH	middle	115.02	124.94	159.88	160.81	141.68	136.86	129.71	134.78	97.94	106.92	94.05
iohQ	early	39.01	15.99	6.99	2.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
thtL	late	2392.43	3246.44	3999.06	4719.57	5597.50	6142.72	6980.27	7632.79	8393.98	8834.51	9362.25
delN	early	79.01	62.97	39.97	47.94	40.91	17.98	18.96	8.99	12.99	6.00	4.00
ycrU	middle	7.00	3.00	3.00	2.00	3.99	9.99	2.00	3.99	2.00	0.00	1.00
njhT	early	11.00	6.00	1.00	0.00	1.00	1.00	0.00	0.00	0.00	0.00	0.00
fwuQ	early	11.00	3.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
gnxU	early	110.02	104.95	108.92	70.92	53.88	29.97	38.91	24.96	19.99	14.99	7.00
ruhG	early	9.00	2.00	2.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
npgF	middle	910.16	940.55	857.37	786.10	684.47	594.39	483.91	417.33	336.80	273.80	203.11
qxsU	early	8.00	5.00	2.00	5.99	2.99	0.00	0.00	0.00	0.00	0.00	0.00
lihQ	early	7.00	6.00	0.00	3.00	1.00	3.00	2.00	1.00	1.00	0.00	0.00
hdvR	early	293.05	219.89	133.90	89.90	48.89	44.95	15.96	6.99	1.00	3.00	3.00
orkT	middle	487.09	526.75	574.58	546.37	566.73	554.43	520.83	443.29	416.75	378.72	317.18
jlaH	middle	30.01	25.99	37.97	43.95	33.92	44.95	44.90	33.95	29.98	14.99	24.01
zgiF	early	7.00	1.00	3.00	2.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00
ugkD	early	4.00	3.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
joeQ	early	748.13	280.87	118.91	27.97	14.97	4.00	2.00	0.00	0.00	0.00	0.00
lxeH	early	217.04	184.91	160.88	106.88	78.82	41.96	37.91	36.94	18.99	17.99	5.00
lfcW	early	33.01	17.99	6.99	13.98	3.99	4.99	1.00	3.00	0.00	1.00	0.00
ifvX	early	104.02	34.98	8.99	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
dvxC	early	208.04	182.91	141.90	74.91	52.88	39.96	19.96	11.98	8.99	5.00	0.00
gnhR	early	45.01	35.98	39.97	35.96	22.95	20.98	23.95	21.96	16.99	8.99	9.01
tjiU	middle	1246.22	1515.27	1627.81	1710.03	1681.25	1571.39	1570.46	1465.65	1356.19	1231.10	1144.64
gqbH	early	35.01	5.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ynaD	early	108.02	84.96	77.94	55.94	49.89	32.97	17.96	17.97	7.00	8.99	7.00
mvzS	early	23.00	21.99	11.99	21.97	13.97	13.99	10.98	12.98	7.00	9.99	8.00
qrvB	early	41.01	40.98	27.98	33.96	32.93	21.98	18.96	17.97	11.99	13.99	9.01
tjdS	early	5.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
pxiO	early	37.01	1.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
wmqP	early	6.00	6.00	2.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
nthY	early	52.01	48.98	32.98	27.97	30.93	24.97	14.97	10.98	9.99	4.00	4.00
tpcU	middle	41.01	48.98	47.96	59.93	47.89	47.95	43.90	53.91	42.97	28.98	35.02
avtN	middle	38.01	30.99	34.97	37.96	33.92	35.96	42.90	45.93	26.98	27.98	29.02
uxcZ	early	37.01	30.99	22.98	20.98	13.97	14.98	5.99	6.99	4.00	5.00	1.00
ajhP	early	21.00	3.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
wdgZ	early	33.01	4.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
udwP	early	16.00	9.00	7.99	1.00	3.99	0.00	0.00	0.00	0.00	0.00	0.00
pyhP	early	157.03	132.94	94.93	63.93	54.88	32.97	18.96	21.96	10.99	9.99	5.00
lueF	early	615.11	599.71	437.68	385.56	286.36	234.76	167.62	145.77	108.93	70.95	54.03
yeuZ	middle	4.00	4.00	5.00	3.00	2.99	4.00	1.00	1.00	0.00	0.00	0.00
lvhG	middle	22.00	23.99	31.98	26.97	20.95	21.98	17.96	21.96	15.99	19.99	13.01
yvgQ	early	6.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
musY	middle	104.02	99.95	139.90	126.85	98.78	96.90	101.77	87.86	83.95	79.94	83.05
btsJ	early	22.00	1.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
hxpX	early	6.00	2.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
frrS	early	17.00	10.99	7.99	2.00	0.00	1.00	1.00	0.00	0.00	0.00	0.00
fciP	middle	19.00	14.99	25.98	12.99	8.98	3.00	5.99	4.99	2.00	2.00	1.00
hfqY	middle	1.00	2.00	1.00	0.00	2.00	1.00	0.00	0.00	0.00	0.00	0.00
fbtP	middle	113.02	146.93	128.91	124.86	93.79	103.89	59.87	72.88	63.96	49.96	39.02
fhzZ	middle	264.05	274.87	285.79	256.70	232.48	203.79	179.60	171.73	151.91	128.91	103.06
tvhX	early	56.01	50.98	48.96	35.96	23.95	20.98	15.96	14.98	11.99	7.99	6.00
kgdZ	middle	7.00	13.99	7.99	5.99	2.00	1.00	0.00	1.00	0.00	0.00	0.00
zbtF	early	19.00	14.99	7.99	7.99	5.99	4.99	2.99	1.00	2.00	0.00	0.00
manB	middle	28.01	40.98	43.97	47.94	37.92	56.94	45.90	40.93	21.99	27.98	25.01
donU	early	28.01	12.99	10.99	1.00	3.99	0.00	1.00	1.00	1.00	0.00	0.00
mcbM	early	13.00	11.99	6.99	4.00	2.99	0.00	0.00	0.00	0.00	0.00	0.00
mubC	early	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
nxrA	middle	75.01	101.95	79.94	94.89	96.78	92.91	100.77	95.85	98.94	76.94	86.05
wahS	middle	6.00	8.00	7.99	4.99	2.00	2.00	0.00	1.00	0.00	1.00	0.00
bfiJ	late	39.01	34.98	49.96	66.92	59.87	77.92	96.78	92.85	98.94	103.92	112.06
ypuA	early	9.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
lqfD	early	11.00	5.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
uomK	early	19.00	10.99	15.99	11.99	3.99	4.00	3.99	0.00	3.00	2.00	2.00
qwwC	middle	4.00	10.00	10.99	12.99	12.97	12.99	17.96	14.98	19.99	7.99	15.01
lyeR	late	245.04	327.84	421.69	466.46	520.84	630.36	675.48	749.80	791.53	819.40	855.48
ldtU	late	197.04	272.87	290.79	356.59	364.19	413.58	417.06	451.28	477.71	480.65	535.30
xlsG	early	19.00	5.00	3.00	2.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00
tleT	early	60.01	17.99	6.99	2.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
wusG	middle	123.02	149.93	158.88	144.83	131.71	129.87	110.75	124.80	111.93	92.93	70.04
fqzM	early	16.00	13.99	11.99	4.00	3.99	3.00	2.99	2.00	1.00	0.00	0.00
ouxO	early	54.01	27.99	14.99	10.99	3.99	3.00	1.00	1.00	0.00	0.00	0.00
jdkF	middle	59.01	61.97	71.95	75.91	75.83	65.93	66.85	52.92	53.97	45.97	41.02
xkqE	early	174.03	132.94	122.91	82.90	77.83	64.93	34.92	27.96	16.99	12.99	12.01
uqyN	early	85.02	58.97	70.95	56.93	60.86	40.96	28.93	20.97	18.99	13.99	14.01
bgxW	late	65.01	75.96	79.94	77.91	81.82	101.90	85.81	86.86	94.94	102.92	109.06
uspV	late	854.15	1172.44	1266.07	1520.25	1601.42	1797.16	1917.68	1940.89	2022.79	2000.53	2043.15
ussM	middle	4940.88	5074.56	4662.58	4080.30	3647.85	3002.93	2481.41	2072.68	1613.04	1375.99	1054.59
wxxL	middle	91.02	105.95	108.92	139.84	133.70	127.87	128.71	131.79	137.92	150.89	144.08
sseW	middle	16.00	23.99	28.98	29.97	35.92	29.97	28.93	41.93	30.98	32.98	30.02
eujL	early	381.07	325.84	228.83	176.80	142.68	88.91	75.83	45.93	29.98	28.98	12.01
fbaK	middle	119.02	120.94	187.86	196.77	210.53	203.79	217.51	218.65	207.88	218.84	189.11
ywtZ	early	7.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
qemF	early	10.00	4.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
rzkL	early	248.04	206.90	173.87	100.88	79.82	49.95	44.90	25.96	16.99	6.00	10.01
oqrK	middle	5.00	9.00	9.99	12.99	7.98	12.99	5.99	8.99	8.99	9.99	6.00
zvvF	middle	67.01	106.95	113.92	167.81	146.67	197.80	183.59	237.62	220.87	240.82	222.12
isvC	early	149.03	46.98	14.99	5.99	1.00	2.00	0.00	0.00	0.00	0.00	0.00
djcC	early	80.01	53.97	29.98	13.98	4.99	4.00	0.00	2.00	2.00	0.00	0.00
gorV	middle	9.00	15.99	9.99	4.00	4.99	4.99	1.00	1.00	0.00	0.00	0.00
pfsP	early	15.00	1.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
bekU	early	145.03	97.95	65.95	50.94	34.92	14.98	12.97	4.99	4.00	2.00	2.00
qtmV	early	99.02	72.96	70.95	72.92	62.86	28.97	45.90	32.95	19.99	21.98	13.01
icpA	early	4.00	1.00	2.00	1.00	1.00	1.00	0.00	0.00	0.00	0.00	0.00
zggJ	early	46.01	45.98	25.98	38.96	31.93	30.97	23.95	20.97	12.99	13.99	21.01
vmqX	middle	15.00	17.99	21.98	8.99	4.99	6.99	2.99	1.00	1.00	0.00	0.00
mapO	late	484.09	582.72	707.48	803.08	936.91	927.05	972.81	1025.36	1055.37	1029.24	1097.62
kixJ	early	0.00	3.00	1.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00
bfcT	early	23.00	10.99	5.00	1.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00
fctZ	early	17.00	16.99	11.99	5.99	2.99	0.00	2.00	0.00	2.00	0.00	1.00
ntxE	middle	456.08	514.75	567.58	652.25	626.60	607.38	518.83	526.16	517.69	420.69	430.24
enfR	middle	211.04	246.88	270.80	256.70	278.38	249.74	254.43	230.63	204.88	197.85	185.10
hvkQ	early	36.01	19.99	9.99	6.99	2.99	1.00	0.00	1.00	0.00	0.00	0.00
mcjK	early	130.02	43.98	16.99	10.99	4.99	0.00	0.00	0.00	0.00	0.00	0.00
ddoH	early	127.02	75.96	49.96	25.97	21.95	4.99	6.98	3.00	1.00	0.00	1.00
clwU	early	30.01	15.99	6.00	8.99	3.99	0.00	2.00	0.00	1.00	0.00	0.00
rhtK	early	0.00	2.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
gciK	early	46.01	41.98	34.97	24.97	18.96	17.98	11.97	6.99	7.00	5.00	6.00
uqdA	early	354.06	191.91	105.92	45.95	26.94	13.99	5.99	5.99	1.00	0.00	0.00
zfhK	early	42.01	29.99	24.98	15.98	7.98	7.99	3.99	0.00	0.00	0.00	2.00
vzaM	early	0.00	2.00	2.00	1.00	1.00	3.00	1.00	0.00	1.00	0.00	0.00
xcpY	early	55.01	15.99	7.99	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
qkqT	early	74.01	54.97	27.98	17.98	10.98	4.99	1.00	1.00	1.00	2.00	0.00
ctkL	middle	33.01	21.99	45.97	32.96	33.92	38.96	22.95	19.97	35.98	15.99	16.01
moiF	middle	22.00	23.99	18.99	17.98	12.97	10.99	9.98	5.99	6.00	5.00	4.00
ikeQ	early	37.01	34.98	32.98	24.97	28.94	18.98	16.96	10.98	8.99	9.99	10.01
wwtP	early	90.02	76.96	60.96	45.95	41.91	26.97	18.96	10.98	6.00	11.99	6.00
vbyT	early	42.01	25.99	19.99	17.98	5.99	1.00	5.99	0.00	1.00	2.00	0.00
ifjA	middle	2505.45	2964.58	3210.64	3375.12	3488.21	3418.51	3435.26	3231.83	3147.12	2875.89	2731.53
jxcW	early	26.00	10.00	6.99	2.00	4.99	1.00	0.00	0.00	1.00	0.00	0.00
nbmE	early	167.03	79.96	27.98	17.98	7.98	1.00	2.00	1.00	0.00	0.00	0.00
jdmS	early	8.00	7.00	1.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
strI	early	37.01	22.99	13.99	7.99	5.99	2.00	3.99	3.99	0.00	0.00	0.00
ealH	middle	5.00	10.00	1.00	2.00	1.00	1.00	0.00	0.00	0.00	0.00	0.00
xlnT	early	43.01	16.99	17.99	5.99	4.99	0.00	2.00	0.00	0.00	0.00	0.00
tzrO	middle	96.02	103.95	69.95	112.87	103.77	85.91	85.81	80.87	66.96	64.95	56.03
tkiE	middle	2.00	3.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00
diqN	early	154.03	99.95	70.95	50.94	27.94	18.98	7.98	8.99	6.00	1.00	1.00
zwkP	early	316.06	306.85	235.83	224.74	181.59	148.85	134.70	83.87	93.94	61.95	40.02
edmX	early	3.00	1.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
alzL	middle	19.00	8.00	12.99	21.97	3.99	4.99	6.98	8.99	8.00	3.00	1.00
lxxT	early	137.02	117.94	83.94	73.91	46.90	30.97	26.94	23.96	4.00	8.99	4.00
qrjV	middle	24.00	25.99	24.98	10.99	12.97	6.99	5.99	2.00	1.00	0.00	0.00
klxF	early	694.12	587.72	488.64	377.57	283.37	183.81	159.64	102.84	65.96	56.96	30.02
oomJ	early	2.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
uqdB	middle	7.00	17.99	11.99	7.99	2.00	1.00	1.00	0.00	1.00	0.00	0.00
znkB	late	606.11	946.55	1290.05	1547.22	1869.82	2325.62	2763.77	2982.23	3506.90	3953.09	4609.59
ttkU	early	360.06	300.86	248.82	190.78	142.68	116.88	85.81	64.90	46.97	24.98	19.01
ibwM	early	410.07	375.82	310.77	248.71	162.64	126.87	85.81	68.89	46.97	39.97	26.01
fxeB	middle	345.06	403.81	388.71	435.50	427.05	425.57	414.07	425.32	297.82	355.74	294.17
ccuI	early	30.01	10.99	7.99	3.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00
xghQ	early	5.00	4.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
nrjG	middle	28.01	34.98	16.99	25.97	17.96	17.98	18.96	12.98	8.00	10.99	8.00
qinH	early	56.01	23.99	13.99	15.98	5.99	1.00	0.00	1.00	0.00	0.00	0.00
gtsZ	late	272.05	363.83	496.64	464.47	543.79	590.40	663.50	618.01	669.60	699.49	738.41
uvoA	early	27.00	7.00	6.99	2.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
msdG	early	54.01	37.98	30.98	21.97	14.97	4.99	8.98	5.99	1.00	2.00	1.00
ttjG	middle	61.01	74.96	79.94	81.91	84.81	88.91	87.80	63.90	109.93	82.94	70.04
npaX	middle	41.01	27.99	36.97	36.96	39.91	39.96	41.91	37.94	32.98	42.97	25.01
wosM	middle	120.02	166.92	135.90	126.85	144.68	116.88	98.78	87.86	74.96	59.96	52.03
hqiM	early	98.02	81.96	95.93	85.90	77.83	74.92	39.91	37.94	36.98	26.98	20.01
wmbF	middle	0.00	0.00	1.00	3.00	2.00	0.00	2.99	3.00	4.00	1.00	2.00
xhuU	early	25.00	7.00	2.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
vqhY	early	64.01	37.98	13.99	8.99	5.99	1.00	0.00	1.00	0.00	0.00	0.00
drtR	middle	2.00	3.00	1.00	4.00	6.98	4.00	1.00	2.00	2.00	2.00	1.00
oynM	early	4.00	2.00	3.00	3.00	3.99	1.00	1.00	1.00	0.00	1.00	0.00
snkE	early	48.01	42.98	45.97	27.97	19.96	14.98	12.97	3.99	3.00	5.00	4.00
tscG	middle	44.01	55.97	37.97	33.96	22.95	27.97	11.97	15.97	10.99	9.99	7.00
sgvY	early	896.16	788.62	668.51	441.49	373.17	248.75	222.50	154.75	109.93	65.95	53.03
kzbZ	early	15.00	10.99	10.99	7.99	8.98	4.00	3.99	1.00	0.00	2.00	0.00
dxyS	middle	8.00	10.99	4.00	6.99	3.99	4.99	3.99	3.00	5.00	0.00	1.00
wifE	early	7.00	4.00	3.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
fvzG	middle	44.01	55.97	46.97	45.95	48.89	31.97	30.93	21.96	22.99	15.99	15.01
vtoI	early	4.00	4.00	3.00	4.00	3.99	1.00	1.00	3.00	0.00	0.00	0.00
wiaD	middle	136.02	144.93	156.88	178.79	199.55	177.82	170.62	168.73	168.90	173.87	162.09
mgcO	early	159.03	71.97	40.97	24.97	10.98	3.00	4.99	2.00	0.00	0.00	1.00
knvL	middle	204.04	243.88	241.82	242.72	214.52	196.80	185.58	163.74	128.92	98.93	106.06
ptgT	middle	7.00	5.00	7.99	6.99	9.98	3.00	3.99	5.99	3.00	3.00	5.00
hlzO	middle	37.01	42.98	34.97	22.97	17.96	8.99	17.96	12.98	10.99	7.99	1.00
ezsD	early	3.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ilkX	early	93.02	67.97	45.97	30.96	14.97	10.99	8.98	4.99	2.00	1.00	0.00
zjcO	early	21.00	10.99	11.99	4.00	3.99	0.00	1.00	2.00	0.00	0.00	0.00
lmuL	early	13.00	7.00	5.00	3.00	2.00	0.00	0.00	0.00	0.00	0.00	0.00
xkaX	early	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
nenQ	early	152.03	64.97	53.96	16.98	15.96	5.99	1.00	1.00	2.00	0.00	1.00
bnjD	middle	54.01	55.97	74.94	83.90	81.82	70.93	85.81	94.85	97.94	76.94	77.04
wfaD	early	18.00	14.99	7.99	13.98	10.98	11.99	4.99	3.99	5.00	3.00	1.00
ofiJ	middle	350.06	422.80	455.67	441.49	422.06	351.64	328.26	323.48	290.83	257.81	219.12
kwnJ	early	114.02	70.97	36.97	28.97	12.97	7.99	4.99	2.00	1.00	0.00	0.00
zpjK	middle	125.02	143.93	166.88	179.79	177.60	188.81	168.62	179.71	157.91	142.89	136.08
vfoW	middle	70.01	75.96	91.93	98.89	104.77	92.91	73.83	84.86	61.96	81.94	67.04
kdoX	early	62.01	60.97	61.95	52.94	49.89	30.97	25.94	15.97	11.99	11.99	11.01
qiuE	early	85.02	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
cosF	early	1040.19	797.62	609.55	399.54	264.41	170.83	127.71	71.88	46.97	28.98	23.01
uzbG	early	4.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
xraG	early	99.02	60.97	43.97	23.97	15.96	6.99	4.99	0.00	2.00	0.00	0.00
yxfP	middle	231.04	265.87	347.74	349.60	385.14	403.59	387.13	449.28	425.75	386.72	398.22
iftC	early	7.00	3.00	1.00	1.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00
srpB	early	171.03	129.94	95.93	69.92	31.93	21.98	10.98	13.98	6.00	0.00	1.00
eynX	early	39.01	35.98	21.98	15.98	10.98	6.99	3.99	1.00	1.00	0.00	1.00
aytO	early	6.00	6.00	4.00	3.00	2.99	3.00	0.00	3.00	0.00	0.00	0.00
pvrX	early	6.00	6.00	2.00	1.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00
eezF	early	10.00	3.00	3.00	4.99	1.00	0.00	0.00	0.00	0.00	0.00	0.00
esuD	early	6.00	2.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
awrB	early	28.01	20.99	23.98	6.99	10.98	7.99	6.98	3.99	2.00	2.00	0.00
kucS	early	113.02	87.96	67.95	57.93	43.90	33.97	22.95	16.97	16.99	9.99	7.00
igvC	early	7.00	5.00	2.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
tpyW	middle	13.00	13.99	13.99	8.99	9.98	5.99	3.99	1.00	2.00	1.00	2.00
zolE	middle	111.02	133.94	155.89	122.86	106.76	91.91	85.81	81.87	76.95	55.96	53.03
zmaM	middle	53.01	77.96	63.95	70.92	59.87	55.94	41.91	55.91	57.97	46.97	37.02
laiW	early	125.02	67.97	31.98	19.98	11.97	9.99	4.99	0.00	2.00	0.00	0.00
aybX	middle	210.04	220.89	188.86	153.82	127.71	86.91	59.87	41.93	45.97	25.98	18.01
ludM	early	39.01	14.99	4.00	2.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00
fseV	early	18.00	8.00	2.00	2.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00
yxeI	early	32.01	19.99	6.99	0.00	0.00	1.00	0.00	1.00	0.00	0.00	0.00
zqvC	early	4.00	4.00	3.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
vfjN	middle	43.01	43.98	36.97	47.94	26.94	30.97	22.95	22.96	18.99	17.99	20.01
vsoJ	middle	15.00	7.00	17.99	11.99	6.98	7.99	3.99	6.99	8.99	5.00	3.00
jpnT	early	175.03	78.96	32.98	8.99	8.98	0.00	2.00	3.99	1.00	0.00	0.00
nmiU	early	31.01	8.00	3.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
abpY	early	210.04	138.93	132.90	104.88	67.85	41.96	25.94	21.96	17.99	9.99	10.01
ztfP	early	6.00	2.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
alfN	middle	12.00	4.00	13.99	7.99	13.97	15.98	7.98	8.99	9.99	7.99	5.00
jtgC	early	14.00	7.00	2.00	3.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00
grhU	early	17.00	10.00	6.99	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
cwkN	middle	5.00	7.00	11.99	3.00	2.00	3.00	2.00	0.00	0.00	0.00	0.00
khiN	middle	193.03	196.91	226.83	258.70	269.40	276.72	313.29	268.57	236.86	276.80	246.14
ymcR	early	2440.44	1389.33	717.47	346.60	159.64	73.92	34.92	7.99	4.00	1.00	3.00
ajgI	early	14.00	11.99	5.00	1.00	2.99	2.00	1.00	0.00	0.00	0.00	0.00
nszK	early	21.00	8.00	0.00	2.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
lcvV	early	42.01	34.98	19.99	4.99	1.00	3.00	0.00	0.00	0.00	0.00	0.00
necG	early	16.00	10.99	9.99	4.00	4.99	4.00	2.00	0.00	0.00	0.00	1.00
mfsI	middle	12.00	11.99	18.99	24.97	15.96	17.98	19.96	13.98	10.99	10.99	10.01
rcyD	early	2.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
rzwW	early	74.01	44.98	32.98	26.97	15.96	8.99	4.99	3.00	3.00	0.00	0.00
ywmQ	early	40.01	6.00	2.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
uqmK	early	17.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ahwD	early	216.04	208.90	207.85	213.75	190.57	157.84	159.64	144.77	135.92	147.89	101.06
vinN	early	13.00	7.00	7.99	1.00	4.99	1.00	0.00	1.00	1.00	1.00	0.00
ylhZ	early	72.01	45.98	23.98	13.98	3.99	3.00	2.00	1.00	0.00	0.00	0.00
lnmX	early	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
